id,name,genres
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,"album rock, classic rock, rock, soft rock, yacht rock"
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,"houston rap, pop, r&b, rap, trap queen"
0TnOYISbd1XYRBk9myaseg,Pitbull,"dance pop, miami hip hop, pop"
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie"
45dkTj5sMRSjrmBSBeiHym,Tate McRae,pop
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,"melodic rap, pluggnb, rap"
5nSGBmlgUdqWNExnOX8VtV,Rain Sounds,"environmental, sleep, sound, water"
04gDigrS5kc9YWfZHwBETP,Maroon 5,pop
6AgTAQt8XS6jRWi4sX7w49,Polo G,"chicago rap, rap"
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"art pop, dance pop, pop"
7gW0r5CkdEUMm42w9XpyZO,Laufey,gen z singer-songwriter
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,"modern alternative rock, modern rock, pop"
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,"puerto rican pop, reggaeton, trap latino, urbano latino"
57vWImR43h4CaDao012Ofp,Steve Lacy,afrofuturism
6icQOAFXDZKsumw3YXyusw,Lil Yachty,"atl hip hop, melodic rap, rap, trap"
45TgXXqMDdF8BkjA83OM7z,Rod Wave,florida rap
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
6jJ0s89eD6GaHleKKya26X,Katy Perry,pop
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,"corrido, sierreno"
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,"alternative rock, funk metal, funk rock, permanent wave, rock"
3Nrfpe0tUJi4K4DXYWgMUX,BTS,"k-pop, k-pop boy group, pop"
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,"r&b, rap, urban contemporary"
